Country Code,Country Name,F65,Indicator Code,Indicator Name,Number of Records,Year,Value
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1960,
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1960,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1960,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1960,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1960,72.176585366
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1960,4579603
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1960,
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1960,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1960,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1960,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1960,69.868292683
FRA,France,,SP.POP.TOTL,"Population, total",1,1960,46621669
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1960,
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1960,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1960,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1960,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1960,69.310024390
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1960,72814900
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1960,
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1960,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1960,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1960,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1960,66.961682927
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1960,3075605
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1960,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1960,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1960,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1960,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1960,73.423170732
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1960,175574
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1961,
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1961,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1961,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1961,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1961,72.438292683
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1961,4611687
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1961,
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1961,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1961,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1961,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1961,70.117073171
FRA,France,,SP.POP.TOTL,"Population, total",1,1961,47240543
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1961,
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1961,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1961,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1961,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1961,69.508
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1961,73377632
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1961,
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1961,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1961,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1961,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1961,67.548756098
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1961,3168100
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1961,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1961,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1961,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1961,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1961,73.503414634
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1961,179029
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1962,
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1962,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1962,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1962,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1962,72.319756098
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1962,4647727
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1962,
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1962,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1962,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1962,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1962,70.314634146
FRA,France,,SP.POP.TOTL,"Population, total",1,1962,47904877
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1962,
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1962,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1962,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1962,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1962,69.691536585
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1962,74025784
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1962,
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1962,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1962,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1962,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1962,68.105975610
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1962,3305200
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1962,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1962,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1962,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1962,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1962,73.721951220
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1962,182378
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,72.400487805
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1963,4684483
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,70.514634146
FRA,France,,SP.POP.TOTL,"Population, total",1,1963,48582611
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,69.859609756
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1963,74714353
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,68.625853659
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1963,3420900
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,73.042926829
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1963,185653
GBR,United Kingdom,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
GBR,United Kingdom,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
GBR,United Kingdom,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
GBR,United Kingdom,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
GBR,United Kingdom,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,70.826829268
GBR,United Kingdom,,SP.POP.TOTL,"Population, total",1,1963,53650000
USA,United States,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1963,
USA,United States,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1963,
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1963,
USA,United States,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1963,
USA,United States,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1963,69.917073171
USA,United States,,SP.POP.TOTL,"Population, total",1,1963,189242000
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1964,21029.009440821
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1964,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1964,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1964,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1964,70.880975610
AUS,Australia,,SP.POP.TOTL,"Population, total",1,1964,11167000
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1964,
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1964,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1964,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1964,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1964,71.776341463
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1964,19325000
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,72.370731707
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1965,4759012
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,70.812195122
FRA,France,,SP.POP.TOTL,"Population, total",1,1965,49818028
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,70.151829268
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1965,75963695
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,69.542878049
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1965,3597900
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,73.868780488
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1965,192286
NLD,Netherlands,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
NLD,Netherlands,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
NLD,Netherlands,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
NLD,Netherlands,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
NLD,Netherlands,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,73.568780488
NLD,Netherlands,,SP.POP.TOTL,"Population, total",1,1965,12294732
NOR,Norway,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
NOR,Norway,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
NOR,Norway,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
NOR,Norway,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
NOR,Norway,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,73.723170732
NOR,Norway,,SP.POP.TOTL,"Population, total",1,1965,3723168
SGP,Singapore,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
SGP,Singapore,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
SGP,Singapore,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,4260.319791625
SGP,Singapore,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
SGP,Singapore,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,67.085804878
SGP,Singapore,,SP.POP.TOTL,"Population, total",1,1965,1886900
SWE,Sweden,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
SWE,Sweden,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
SWE,Sweden,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
SWE,Sweden,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
SWE,Sweden,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,73.861707317
SWE,Sweden,,SP.POP.TOTL,"Population, total",1,1965,7733853
CHE,Switzerland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1965,
CHE,Switzerland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1965,
CHE,Switzerland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1965,
CHE,Switzerland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1965,
CHE,Switzerland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1965,72.201707317
CHE,Switzerland,,SP.POP.TOTL,"Population, total",1,1965,5856472
NLD,Netherlands,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1966,
NLD,Netherlands,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1966,
NLD,Netherlands,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1966,
NLD,Netherlands,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1966,
NLD,Netherlands,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1966,73.512926829
NLD,Netherlands,,SP.POP.TOTL,"Population, total",1,1966,12456251
NOR,Norway,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1966,
NOR,Norway,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1966,
NOR,Norway,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1966,
NOR,Norway,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1966,
NOR,Norway,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1966,73.995365854
NOR,Norway,,SP.POP.TOTL,"Population, total",1,1966,3753012
SGP,Singapore,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1966,
SGP,Singapore,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1966,
SGP,Singapore,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1966,4571.900144234
SGP,Singapore,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1966,
SGP,Singapore,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1966,67.255951220
SGP,Singapore,,SP.POP.TOTL,"Population, total",1,1966,1934400
SWE,Sweden,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1966,
SWE,Sweden,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1966,
SWE,Sweden,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1966,
SWE,Sweden,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1966,
SWE,Sweden,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1966,74.078536585
SWE,Sweden,,SP.POP.TOTL,"Population, total",1,1966,7807797
CHE,Switzerland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1966,
CHE,Switzerland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1966,
CHE,Switzerland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1966,
CHE,Switzerland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1966,
CHE,Switzerland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1966,72.335609756
CHE,Switzerland,,SP.POP.TOTL,"Population, total",1,1966,5918002
IRL,Ireland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1967,
IRL,Ireland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1967,
IRL,Ireland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1967,
IRL,Ireland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1967,
IRL,Ireland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1967,70.745146341
IRL,Ireland,,SP.POP.TOTL,"Population, total",1,1967,2902450
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1968,28722.493915269
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1968,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1968,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1968,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1968,73.121463415
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1968,4864883
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1968,
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1968,
